Latitude,Longitude,Title,Owner,URL,Tags,Description
51.513025,-0.125909,Who would think -,14838182@N00,https://live.staticflickr.com/65535/55153613557_670c0d0856.jpg,street lane alley passage square courtyard buildings architecture bars cafes restaurants pubs taverns museum brewery iconic famous brand stout beer brew guinness coventgarden london england britain uk mobile phone cellphone smartphone iphone 16pro photoshop lightroom cameraraw acr,"The area is packed with bars, cafes and pubs - but I never knew there's also a Guinness <i>brewery</i>. In the literal 'heart of London'! (Note to self: next time nearby, go try the experience - and the product ;)"
51.512836,-0.127114,,16852653@N06,https://live.staticflickr.com/65535/55153471857_3af3e85cf0.jpg,,
51.512579,-0.13322,Negotiations,67706190@N00,https://live.staticflickr.com/65535/55152897592_3dcdc0f92e.jpg,,
51.509911,-0.134339,"Picadilly Circus, Londres.",72117290@N04,https://live.staticflickr.com/65535/55153229608_7b9b4de99b.jpg,ciudad europa granbretaña inglaterra londres reinounido,
51.509797,-0.127844,`3433,81065266@N00,https://live.staticflickr.com/65535/55152188195_b5c4e81a58.jpg,london streetphotography sad mad fun funny people smile fashion spring uk classic art canon tourism ourists urban unaware unknown bored lunch england pretty shops shopping wisdom natural portrait candid community culture surreal colour moody quiet busy tramp dirty books silence hoodie sleeping rest westminster tourists w1 leicestersquare chair,In A Library!...
51.510572,-0.129339,Deliver Me - 32625,47072881@N06,https://live.staticflickr.com/65535/55151667198_d6aa480526.jpg,london england unitedkingdom delivermefromnowhere brucespringsteen jonlandau jeremyallenwhite 69thbfilondonfilmfestival stephengraham southbankcentre handlemoodsladder,69th BFI London Film Festival Headline Gala
51.512627,-0.126478,,60179301@N00,https://live.staticflickr.com/65535/55151162471_417575eeee.jpg,,
51.512536,-0.126164,,60179301@N00,https://live.staticflickr.com/65535/55151323958_6013b8c43c.jpg,,
51.512561,-0.126284,,60179301@N00,https://live.staticflickr.com/65535/55150268607_a2b8409a06.jpg,,
51.512563,-0.126325,,60179301@N00,https://live.staticflickr.com/65535/55151159201_12dbc92bbb.jpg,,
51.512536,-0.126164,,60179301@N00,https://live.staticflickr.com/65535/55151158936_746f34c0f1.jpg,,
51.512536,-0.126153,,60179301@N00,https://live.staticflickr.com/65535/55151158681_58386df047.jpg,,
51.512677,-0.126459,,60179301@N00,https://live.staticflickr.com/65535/55151320018_4f21e4049f.jpg,,
51.51253,-0.126148,,60179301@N00,https://live.staticflickr.com/65535/55151158361_16da4662d2.jpg,,
51.512536,-0.126234,,60179301@N00,https://live.staticflickr.com/65535/55151319068_39a166478e.jpg,,
51.512536,-0.126164,,60179301@N00,https://live.staticflickr.com/65535/55151534715_f5c45b1355.jpg,,
51.512527,-0.126142,,60179301@N00,https://live.staticflickr.com/65535/55151156446_b96b5e7064.jpg,,
51.512591,-0.126381,,60179301@N00,https://live.staticflickr.com/65535/55151156261_e90bab7df3.jpg,,
51.512569,-0.126278,,60179301@N00,https://live.staticflickr.com/65535/55151156166_771a091940.jpg,,
51.512536,-0.126228,,60179301@N00,https://live.staticflickr.com/65535/55151389939_9baa54a27d.jpg,,
51.512558,-0.126317,,60179301@N00,https://live.staticflickr.com/65535/55150264772_bff3321038.jpg,,
51.512536,-0.126164,,60179301@N00,https://live.staticflickr.com/65535/55151317068_812cd3e277.jpg,,
51.512325,-0.125973,,60179301@N00,https://live.staticflickr.com/65535/55151532545_720e7ac397.jpg,,
51.509456,-0.128284,Pictures at an Exhibition,86182676@N00,https://live.staticflickr.com/65535/55151177835_e934b1253b.jpg,nationalportraitgallery london art gallery exhibition painting npg,"Visited the National Portrait Gallery in London with a friend. Been there many times, and it was really just a place to chill and chat. It has free entry, which I really value. It's good for the soul, and I'd be more than happy for a small city tax levied on hotel stays to help fund these galleries.

National Portrait Gallery, London WC2
14th March 2026


20260314 IMG_0757"
